system_id,word,pos
1,原文,Na
1,標題元,Na
1,大,VH
1,臺灣,Nc
1,價值,Na
1,高息,Na
1,准募,VE
1,展開,VC
1,募集,VC
1,原文,Na
1,連結,VC
1,///,FW
1,發布,VC
1,時間,Na
1,記者,Na
1,署名,VC
1,工商時報,Nb
1,陳昱光,Nb
1,原文,Na
1,內容,Na
1,元大,Nb
1,投信日,Nd
1,取得,VC
1,證交所,Nc
1,同意,VK
1,募集,VC
1,元大,Nb
1,臺灣,Nc
1,價值,Na
1,高息,Na
1,證券,Na
1,投資,VC
1,信託,A
1,基金,Na
1,，,COMMACATEGORY
1,將,D
1,於,P
1,月日,Nd
1,展開,VC
1,募集,VC
1,國內,Nc
1,發行,VC
1,龍頭,Na
1,元大,Nb
1,投信,Na
1,，,COMMACATEGORY
1,具備,VJ
1,業界,Nc
1,指標級,Na
1,發行,VC
1,經驗,Na
1,，,COMMACATEGORY
1,針對,P
1,市場,Nc
1,趨勢,Na
1,與,Caa
1,產品,Na
1,差異性,Na
1,，,COMMACATEGORY
1,再,D
1,推出,VC
1,首,Nes
1,檔,Nf
1,結合,VHC
1,巴菲特,Nb
1,價值,Na
1,投資,VC
1,，,COMMACATEGORY
1,以及,Caa
1,月,Na
1,配息,Na
1,設計,Na
1,與,Caa
1,元,Nf
1,親民,VH
1,發行價,Na
1,的,DE
1,高,VH
1,股息,Na
1,元大,Nb
1,臺灣,Nc
1,價值,Na
1,高息,Na
1,將,D
1,於,P
1,月,Na
1,日,Nd
1,展開,VC
1,募集,VC
1,元大,Nb
1,投信,Na
1,發行,VC
1,經驗,Na
1,超過,VJ
1,年,Na
1,，,COMMACATEGORY
1,旗下,Nc
1,擁有,VJ
1,包括,VK
1,國內,Nc
1,首,Nes
1,檔,Nf
1,國內,Nc
1,首,Nes
1,檔,Nf
1,高,VH
1,股息,Na
1,的,DE
1,多,Neqa
1,檔,Nf
1,千億,Neu
1,級,Na
1,，,COMMACATEGORY
1,至,P
1,今年,Nd
1,月,Na
1,日,Na
1,資產,Na
1,管理,VC
1,規模,Na
1,達兆,VH
1,，,COMMACATEGORY
1,為,P
1,市場,Nc
1,第,Neu
1,，,COMMACATEGORY
1,本,Nes
1,次,Nf
1,推,VC
1,出元,Nb
1,大,VH
1,臺灣,Nc
1,價值,Na
1,高息,Na
1,是,SHI
1,繼,P
1,年,Nf
1,發行,VC
1,元大,Nb
1,台灣,Nc
1,高息,Na
1,低波,Na
1,年,Na
1,發行,VC
1,元大臺,Nc
1,灣,Na
1,永續,VH
1,本,Nes
1,基金,Na
1,之,DE
1,配息,Na
1,來源,Na
1,可能,D
1,為,VG
1,收益,Na
1,平準金,Na
1,後,Ng
1,，,COMMACATEGORY
1,再次,D
