system_id,word,ner
1,元大,ORG
1,元大投信,ORG
1,巴菲特,ORG
1,元大,ORG
1,臺灣,GPE
1,月日,DATE
1,元大投信,ORG
1,千億,CARDINAL
1,今年月日,DATE
1,元大,ORG
1,臺灣,GPE
1,金年,DATE
1,元大,ORG
1,臺灣,GPE
1,元大投信,ORG
1,巴菲特,ORG
1,兩,CARDINAL
1,巴菲特,PERSON
1,元大,ORG
1,臺灣,GPE
1,臺灣,NORP
1,五年,DATE
1,元大投信,ORG
1,元大投信,ORG
1,元大投信,ORG
1,月初,DATE
1,月底,DATE
2,百萬,CARDINAL
2,台積電,ORG
2,奇鋐,ORG
2,文曄,PERSON
2,廣達,ORG
2,世芯,PERSON
2,中信金,ORG
2,技嘉,ORG
2,祥碩,PERSON
2,百萬,CARDINAL
2,新日興,ORG
2,祥碩,PERSON
2,華城,GPE
2,亞德客,ORG
2,弘塑,ORG
2,緯穎,PERSON
2,健鼎,ORG
3,鉅亨網,ORG
3,羅昀玫,PERSON
3,四日,DATE
3,第四季,DATE
3,華爾街,ORG
3,億美元,MONEY
3,華爾街,ORG
3,億美元億美元,MONEY
3,億美元億美元,MONEY
3,祖克伯,PERSON
3,祖克柏,PERSON
3,週四,DATE
3,今年,DATE
3,第季,DATE
3,億美元至億美元,MONEY
3,億美元至億美元,MONEY
3,祖克柏,PERSON
3,幾個月,DATE
3,今年,DATE
3,週四,DATE
3,月日,DATE
3,億美元,MONEY
3,今年,DATE
3,去年月底止,DATE
3,前年,DATE
3,週四,DATE
3,億美元億美元,MONEY
3,美元美元,MONEY
3,億美元,MONEY
3,數億億,CARDINAL
3,中國,GPE
3,第四季,DATE
3,前年,DATE
3,億美元,MONEY
3,年中,DATE
3,去年,DATE
3,第四季,DATE
3,去年,DATE
3,第四季,DATE
3,年前,DATE
3,億美元,MONEY
3,二倍至億美元,MONEY
3,億美元,MONEY
3,年前,DATE
3,億美元,MONEY
3,二倍,CARDINAL
3,約億美元,MONEY
3,年前,DATE
3,億美元,MONEY
3,二倍,CARDINAL
3,約億美元,MONEY
3,上季,DATE
3,億美元,MONEY
3,億美元,MONEY
3,億美元,MONEY
3,億美元,MONEY
3,億美元,MONEY
3,上季,DATE
3,億美元,MONEY
3,億美元,MONEY
3,億美元,MONEY
3,億美元,MONEY
3,祖克柏月,PERSON
3,通用,ORG
3,年底,DATE
3,萬,CARDINAL
3,輝達,ORG
3,祖克柏,PERSON
4,中信,ORG
4,費城半導體,ORG
4,這兩天,DATE
4,美國國內半導體上中下游公司,ORG
4,兩,CARDINAL
4,過去兩三年年,DATE
4,兩,CARDINAL
5,元大滬,ORG
5,國泰智能,ORG
5,台積電,ORG
5,長榮,ORG
5,宏碁,ORG
5,群創,ORG
5,廣達,ORG
5,華通,ORG
5,華航,ORG
5,富邦,ORG
5,英業達,ORG
5,台通,ORG
5,昆盈,ORG
5,富邦,ORG
5,聯茂,ORG
5,國泰北美科技,ORG
5,奇鋐,ORG
5,漢翔,ORG
5,邁達特,PERSON
5,堤維西,ORG
5,富邦恒,PERSON
5,威健,ORG
5,中國,GPE
5,台泥,ORG
5,三陽,ORG
5,海華,GPE
5,東元,ORG
5,元大日圓,ORG
5,健鼎,ORG
5,中華,GPE
5,元大,ORG
5,聯發科,ORG
5,聯發科法興,ORG
5,元大,ORG
5,台灣,GPE
5,定穎投控,ORG
5,富邦金,ORG
5,樺漢,PERSON
5,康舒,ORG
5,弘憶股,PERSON
5,台光,ORG
5,富邦,ORG
5,京城銀,PERSON
5,復華,ORG
5,玉山金,ORG
5,復華富時,ORG
5,群益台灣,GPE
5,中鋼,ORG
5,台新金,ORG
5,開發金,ORG
5,國泰金,ORG
5,國泰,ORG
5,中信金,ORG
5,兆豐金,ORG
5,大同,GPE
5,永豐金,ORG
5,聯詠,ORG
5,友達,ORG
5,第金,ORDINAL
5,中興電,ORG
5,元大金,ORG
5,華泰,ORG
5,新光金,ORG
5,華邦,ORG
5,光寶科,ORG
5,元大高,ORG
5,中信,ORG
5,中國,NORP
5,京元電子,ORG
5,元大,ORG
5,威盛,ORG
5,文曄,PERSON
5,復華,ORG
5,香港,GPE
5,日月光投控,ORG
5,矽統,ORG
5,中纖,ORG
5,永豐餘,ORG
5,旺宏,ORG
5,布蘭特,GPE
5,彰銀,ORG
5,敦泰,GPE
5,亞泥,ORG
5,裕民,ORG
5,中信,ORG
5,仁寶,ORG
5,寶成,ORG
5,臺股,NORP
5,華南金,ORG
5,過年前最後天,DATE
5,新年,DATE
6,韓股,NORP
6,皇老黃,PERSON
6,韓廠,ORG
6,第代,ORDINAL
6,海力士,ORG
6,恩恩恩恩恩,PERSON
6,美光,ORG
6,三,CARDINAL
6,美光,ORG
6,台灣,GPE
6,台灣,GPE
6,第三,ORDINAL
6,兩,CARDINAL
6,第代,ORDINAL
6,第二,ORDINAL
6,賭台廠,ORG
6,美光惠,PERSON
7,三月,DATE
7,今天,DATE
8,元大,ORG
8,巴菲特,PERSON
8,去年,DATE
9,八,CARDINAL
9,國泰,ORG
9,欣興,ORG
9,中信金,ORG
9,群益台灣,GPE
9,第金,GPE
9,華東,LOC
9,彩晶,ORG
9,元大金,ORG
9,復華,ORG
9,台灣,GPE
9,富邦,ORG
9,三商壽,PERSON
9,宏捷科,PERSON
9,金寶,ORG
9,中美晶,ORG
9,大亞,ORG
9,中鋼,ORG
9,華邦,ORG
9,中信,ORG
9,力麒,ORG
9,永捷,ORG
9,晶彩科,ORG
9,昆盈,ORG
9,上曜,ORG
9,友達,ORG
9,中石化,ORG
9,富邦金,ORG
9,大同,GPE
9,中信,ORG
9,永豐金,PERSON
9,聯電,ORG
9,兆豐金,PERSON
9,東和,ORG
9,元大高股息,ORG
9,擎亞,ORG
9,潤泰,ORG
9,瑞軒,ORG
9,元大,ORG
9,鴻海,ORG
9,華興,ORG
9,南亞,LOC
9,誠美材,PERSON
9,永崴投控,ORG
9,中纖,ORG
9,布蘭特,GPE
9,冠德,ORG
9,台新金,ORG
9,元山,LOC
9,王道銀行,ORG
9,中信,ORG
9,中國,GPE
9,彰銀,ORG
9,敬鵬,ORG
9,裕民,ORG
9,聯詠,ORG
9,菱生,ORG
9,富喬,ORG
9,昇貿,ORG
9,開發金,ORG
9,榮創,PERSON
9,國泰金,ORG
9,永捷,ORG
9,上曜,ORG
9,東和,ORG
9,永崴投控,ORG
9,宏捷科,PERSON
9,瑞軒,ORG
9,華興,ORG
9,欣興,ORG
9,聯詠,ORG
9,中美晶,ORG
9,宏捷科,PERSON
9,今日,DATE
9,國泰年美債元大,ORG
9,中信,ORG
9,國泰年,DATE
10,紅海,LOC
10,幾個月,DATE
10,長榮,ORG
10,今年,DATE
10,台積電,ORG
10,今年跟兩年前,DATE
10,今年,DATE
10,長榮,ORG
10,兩年前,DATE
10,萬,CARDINAL
10,三月到四月多,DATE
10,布局,ORG
10,長榮,ORG
10,長榮,PERSON
10,長榮,ORG
10,第季,ORDINAL
10,長榮,ORG
10,長榮,ORG
